"","born","Died","sex","age_at_debut","ad_cat","mamed","delta"
"69571","1932-05-10",1991,"Male",24,"ostatni","ano",1
"69572","1903-11-24",1960,"Male",33,"26+","ne",1
"69573","1926-03-25",1986,"Male",22,"ostatni","ne",1
"69574","1884-01-23",1964,"Male",28,"26+","ne",1
"69575","1876-12-06",1928,"Male",24,"ostatni","ano",1
"69576","1906-05-07",1931,"Male",22,"ostatni","ne",1
"69577","1905-04-27",1986,"Male",23,"ostatni","ano",1
"69578","1947-08-28",NA,"Male",21,"do_22","ne",0
"69579","1909-09-11",1993,"Male",23,"ostatni","ano",1
"69580","1956-01-17",NA,"Male",28,"26+","ne",0
"69581","1938-05-31",NA,"Male",22,"ostatni","ne",0
"69582","1898-03-24",1994,"Male",22,"ostatni","ne",1
"69583","1898-11-20",1971,"Male",22,"ostatni","ano",1
"69584","1874-09-23",1927,"Male",22,"ostatni","ano",1
"69585","1940-06-26",NA,"Male",28,"26+","ne",0
"69586","1933-12-02",2003,"Male",31,"26+","ano",1
"69587","1937-05-23",NA,"Male",27,"26+","ne",0
"69588","1903-11-23",1928,"Male",21,"do_22","ano",1
"69589","1912-08-15",1994,"Male",24,"ostatni","ne",1
"69590","1916-09-12",2000,"Male",32,"26+","ne",1
"69591","1956-12-21",2009,"Male",28,"26+","ano",1
"69592","1929-05-17",1996,"Male",23,"ostatni","ano",1
"69593","1932-11-06",2010,"Male",24,"ostatni","ano",1
"69594","1901-03-11",1959,"Male",23,"ostatni","ano",1
"69595","1877-02-22",1937,"Male",23,"ostatni","ne",1
"69596","1898-01-07",1931,"Male",22,"ostatni","ano",1
"69597","1877-11-02",1917,"Male",23,"ostatni","ne",1
"69598","1906-04-15",1986,"Male",22,"ostatni","ne",1
"69599","1904-11-29",1940,"Male",20,"do_22","ne",1
"69600","1961-07-01",NA,"Male",23,"ostatni","ano",0
"69601","1969-05-16",NA,"Male",19,"do_22","ano",0
"69602","1876-03-02",1962,"Male",24,"ostatni","ne",1
"69603","1962-11-10",NA,"Male",26,"ostatni","ne",0
"69604","1899-10-28",1962,"Male",25,"ostatni","ano",1
"69605","1882-03-16",1953,"Male",22,"ostatni","ano",1
"69606","1921-05-12",1962,"Male",27,"26+","ne",1
"69607","1887-12-19",1954,"Male",25,"ostatni","ne",1
"69608","1889-08-17",NA,"Male",31,"26+","ne",0
"69609","1886-11-09",1978,"Male",26,"ostatni","ano",1
"69610","1889-09-13",1966,"Male",31,"26+","ne",1
"69611","1946-03-09",NA,"Male",18,"do_22","ne",0
"69612","1939-06-26",NA,"Male",25,"ostatni","ano",0
"69613","1893-11-16",1962,"Male",19,"do_22","ano",1
"69614","1949-09-11",NA,"Male",19,"do_22","ne",0
"69615","1894-09-21",1951,"Male",26,"ostatni","ano",1
"69616","1959-07-19",NA,"Male",25,"ostatni","ne",0
"69617","1970-04-15",NA,"Male",22,"ostatni","ne",0
"69618","1940-06-13",NA,"Male",20,"do_22","ano",0
"69619","1878-10-16",1959,"Male",22,"ostatni","ano",1
"69620","1896-08-22",1971,"Male",24,"ostatni","ano",1
"69621","1968-09-25",NA,"Male",24,"ostatni","ne",0
"69622","1878-08-13",1920,"Male",22,"ostatni","ne",1
"69623","1876-06-26",1937,"Male",28,"26+","ne",1
"69624","1884-06-05",1914,"Male",20,"do_22","ne",1
"69625","1940-07-11",NA,"Male",24,"ostatni","ne",0
"69626","1946-11-12",NA,"Male",26,"ostatni","ne",0
"69627","1951-12-23",NA,"Male",25,"ostatni","ne",0
"69628","1962-08-07",NA,"Male",22,"ostatni","ne",0
"69629","1949-01-15",NA,"Male",27,"26+","ne",0
"69630","1904-02-20",1973,"Male",20,"do_22","ano",1
"69631","1927-10-22",NA,"Male",29,"26+","ne",0
"69632","1910-10-12",1958,"Male",22,"ostatni","ne",1
"69633","1892-02-05",1943,"Male",20,"do_22","ne",1
"69634","1940-01-12",NA,"Male",28,"26+","ne",0
"69635","1887-07-01",1967,"Male",25,"ostatni","ne",1
"69636","1898-07-22",1955,"Male",22,"ostatni","ne",1
"69637","1915-02-28",1993,"Male",21,"do_22","ne",1
